,V1,V2,V3,V4,url,V5
1,2849,Delsey Helium Sky 2.0 Expandable Carry On Spinner,Delsey Helium Sky 2.0 Expandable Carry On Spinner-Home,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000002849.jpg, Sky
2,2661,Matouk Letra Monogram Guest Towel - 100% Exclusive,Add a personal touch to your master suite or guest bath with this monogrammed towel.,"['Business', 'Formal']",https://s3.amazonaws.com/kalo-production/products/0004000002661.jpg, A|X Armani Exchange
3,48,Zadig & Voltaire Clyde Leather Crossbody,Zadig & Voltaire Clyde Leather Crossbody-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000048.jpg, Zadig & Voltaire
4,1841,Rebecca Minkoff Regan Nubuck Leather Satchel,Rebecca Minkoff Regan Nubuck Leather Satchel-Handbags,['Business'],https://s3.amazonaws.com/kalo-production/products/0004000001841.jpg, Rebecca Minkoff
6,1938,Swiss Blue Topaz and Diamond Halo Stud Earrings in 14K White Gold - 100% Exclusive,Swiss Blue Topaz and Diamond Halo Stud Earrings in 14K White Gold - 100% Exclusive-Jewelry & Accessories,['Formal'],https://s3.amazonaws.com/kalo-production/products/0004000001938.jpg, Diamond
7,2300,Polo Ralph Lauren Allover Pony Print Pajama Pants,These relaxed-fitting pajama pants from Polo Ralph Lauren are crafted from soft cotton broadcloth and feature an allover pattern of the brand's iconic pony.,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000002300.jpg, Polo Ralph Lauren
8,1797,Marc Jacobs Grey The Grind Bag,Pebbled leather tote in light slate grey. Twin carry handles. Logo plaque and padlock hardware at face. Gold-tone logo patch card slot zippered pocket and patch pockets at three-compartment interior. Burgundy textile and leather lining. Gold-tone hardware. Contrast stitching in off-white. Approx. 13.5 length x 12 height x 5 width.,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001797.jpg, MARC JACOBS
9,2143,"Tous Sterling Silver & Cultured Freshwater Pearl Bear Pendant Necklace, 18","Tous Sterling Silver & Cultured Freshwater Pearl Bear Pendant Necklace, 18-Jewelry & Accessories","['Casual', 'Formal']",https://s3.amazonaws.com/kalo-production/products/0004000002143.jpg, Tous
10,682,Michael Michael Kors Selma Studded Embossed Leather Medium Crossbody,Michael Michael Kors Selma Studded Embossed Leather Medium Crossbody-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000682.jpg, Michael Kors
11,1511,Longchamp Shop It Medium Leather Hobo,Longchamp Shop It Medium Leather Hobo-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001511.jpg, Hobo
12,2560,Boss Solid Basic Regular Fit Dress Shirt,Boss Solid Basic Regular Fit Dress Shirt-Men,['Formal'],https://s3.amazonaws.com/kalo-production/products/0004000002560.jpg, BOSS
13,2808,"Bric's Designer Travel Bags, Life Olive Green Micro Suede Medium Trolley","Life Olive Green Micro Suede Medium Trolley from Bric's Life Collection is handcrafted with suede effect PVC and trimmed with full grain Tuscan leather including the signature logo. Classic and elegant this line is created to look great and travel better. Fits enough for a 5 to 7 day trip. Featuring top and side leather handles, roomy zip main compartment, front zip pocket, adjustable retractable handle and ergonomically designed wheels swivel 360 degrees.","['Business', 'Casual']",https://s3.amazonaws.com/kalo-production/products/0004000002808.jpg, A|X Armani Exchange
14,1248,Sam Edelman Prudence Large Beaded Clutch,Sam Edelman Prudence Large Beaded Clutch-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001248.jpg, Sam Edelman
15,1158,Peixoto Girls' Magnolia Fringe 2-Piece Swimsuit - Big Kid,Peixoto Girls' Magnolia Fringe 2-Piece Swimsuit - Big Kid-Kids,['Athletic'],https://s3.amazonaws.com/kalo-production/products/0004000001158.jpg, Peixoto
16,38,Bric's Life 65th Anniversary Tropea 30 Spinner,Bric's Life 65th Anniversary Tropea 30 Spinner-Home,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000038.jpg, Bric's
17,429,"Marc Jacobs Designer Handbags, The Editor Leather Tote Bag","The Editor Tote crafted in smooth supple coated split leather, blends elegance and organized convenience into a bag that will take you through every scenario you can imagine. A special bonus is the interior section that unzips to open fully so you can get to everything you need in a flash. Featuring double flat stitched handles, two open compartments with wall organizer pouch, center full zip compartment, contrasting interior, detachable leather tag and light gold tone hardware. Signature dust bag included.","['Business', 'Casual']",https://s3.amazonaws.com/kalo-production/products/0004000000429.jpg, MARC JACOBS
18,1449,Rebecca Minkoff Serra Foldover Clutch,Rebecca Minkoff Serra Foldover Clutch-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001449.jpg, Rebecca Minkoff
19,1101,Longchamp Mademoiselle Small Leather Crossbody,Longchamp Mademoiselle Small Leather Crossbody-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001101.jpg, Longchamp
20,99,Lagos Sterling Silver Caviar Spark Diamond Square Stud Earrings,Lagos Sterling Silver Caviar Spark Diamond Square Stud Earrings-Jewelry & Accessories,['Formal'],https://s3.amazonaws.com/kalo-production/products/0004000000099.jpg, Lagos
21,482,Halston Heritage Tina Soft Large Suede Tote,Halston Heritage Tina Soft Large Suede Tote-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000482.jpg, Halston Heritage
22,1505,Burberry Grey Small Banner Structured Tote,"Grained leather tote bag in limestone grey. Twin carry handles at top featuring d-ring hardware and press-stud tab. Adjustable and detachable pin-buckle shoulder strap featuring signature check pattern in red, black, tan, and white with lobster clasp fastening. Logo stamp in silver-tone at face. Expansion panel at sides featuring post-stud fastening. Zippered pocket, two patch pockets, and leather logo flag at interior. Textile lining featuring signature check pattern in tan, black, white, and red. Bumper studs at base. Silver-tone hardware. Tonal stitching. Approx. 10 length x 7.5 height x 4.5 width.","['Business', 'Casual']",https://s3.amazonaws.com/kalo-production/products/0004000001505.jpg, Burberry
23,309,Fallon & Royce Paloma Straw Tote,Fallon & Royce Paloma Straw Tote-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000309.jpg, Fallon
24,2434,"Polo Ralph Lauren Mid-Rise Briefs, Pack of 4",A three pack of mid-rise briefs in classic cotton.,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000002434.jpg, A|X Armani Exchange
25,1831,Tory Burch Georgia Slim Medium Leather Wallet,Tory Burch Georgia Slim Medium Leather Wallet-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001831.jpg, Tory Burch
26,827,Michael Michael Kors Rhea Medium Zip Leather Backpack,Michael Michael Kors Rhea Medium Zip Leather Backpack-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000827.jpg, Michael Kors
27,608,Michael Michael Kors Double Zip Smartphone Wristlet,Michael Michael Kors Double Zip Smartphone Wristlet-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000608.jpg, Michael Kors
29,832,Botkier Cobble Hill Leather Clutch,Botkier Cobble Hill Leather Clutch-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000832.jpg, Botkier
