brand,info,retailer,name,price,unbranded_name,sale_price,categories,tier,,,
Kate Spade New York,Fanciful sparkle-accented clovers shaped from signature spades cover a case designed to keep your tech safe from scrapes and scuffs. Style Name: Kate Spade New York Mirror Spade Clover Toss Iphone X/xs Case. Style Number: 5910529. Available in stores.,NORDSTROM,Kate Spade New York Mirror Spade Clover Toss Iphone X/xs Case -,45,Kate Spade New York Mirror Spade Clover Toss Iphone X/xs Case -,45,"{women_accessory,women_all,women_tech_accessories}",,,,
ALLSAINTS,Add a touch of sparkle and shine to your lobe and cartilage with this fashion-forward set that includes a gleaming hexagonal cuff and a sparkling stud. Style Name: Allsaints Wide Ear Cuff & Stud Set. Style Number: 5943776. Available in stores.,NORDSTROM,Women's Allsaints Wide Ear Cuff & Stud Set,35,Women's Allsaints Wide Ear Cuff & Stud Set,35,"{women_accessory,women_all,women_earrings}",,,,
Michael Aram,"Like lush piles of fallen leaves that decorate the forest floor, delicate leaf motifs lend subtle texture and detail to uniformly white Michael Aram dinnerware.",Bloomingdale's,Michael Aram Forest Leaf Tidbit Plate,22,Michael Aram Forest Leaf Tidbit Plate,,"{women_clothing,women_all,women_sweater,men_clothing,men_all,men_swimwear}",,,,
Agraria,"Agraria Bitter Orange Perfumed Burning Sticks Details Agraria perfumed burning sticks are infused with the finest botanicals and essential oils from around the world. Set these luxuriously fragrant sticks in your favorite bowl or vase for a chic, lavish display. The original, signature scent of Agraria blends clove, fragrant rose, and the zest of bitter orange. Contains 40 long-lasting incense tapers. Approximate burn time: 40 minutes each. Presented in a sleeved faux bois box. Designer About.",Bergdorf Goodman,Bitter Orange Perfumed Burning Sticks,30,Bitter Orange Perfumed Burning Sticks,,"{women_accessory,women_all,women_tech_accessories}",,,,
Rip Curl,Get ready to hit the books or the beach with this block-printed canvas backpack. Style Name: Rip Curl Coastal Tides Backpack. Style Number: 5910983. Available in stores.,NORDSTROM,Rip Curl Coastal Tides Backpack -,44.95,Rip Curl Coastal Tides Backpack -,44.95,"{women_bag,women_all,women_backpacks}",,,,
Elemis,What it is: A luxurious cream wash that takes you on an escape to paradise. What it does: Advanced body-care technology provides an exceptionally skin-friendly formulation that completely cleanses the skin without stripping your protective surface oils. The unique and rich infusion of exotic Tahitian monoi oil-a traditional blend of tiare flowers soaked in copra oil-has been fragranced with frangipani flowers to leave the skin feeling beautifully,NORDSTROM,Elemis Frangipani Monoi Shower Cream,40,Elemis Frangipani Monoi Shower Cream,40,"{women_clothing,women_all,women_swimwear}",,,,
ROSSIGNOL,Multicolour logo gloves from Rossignol featuring a slip-on style and elasticated cuffs.,Farfetch,Rossignol - logo gloves - women - Spandex/Elastane - One Size - Black,35,Rossignol - logo gloves - women - Spandex/Elastane - One Size - Black,35,"{women_accessory,women_all,women_gloves}",,,,
Patchology,"What it is: A kit full of patchology's best-kept secret weapons so you can rock all the glow and dewiness without unzipping your makeup bag. Kit includes:- FlashPatch Rejuvenating 5-Minute Eye Gels (1 pair): an eye treatment that works to de-puff, hydrate, brighten and smooth the undereye area- MoodPatch Down Time Tea-Infused Aromatherapy Eye Gels (1 pair): a pair of 10-minute eye gel masks targeted to revive the eye area- FlashMasque Hydrate",NORDSTROM,Patchology No Makeup Day Skin Perfecting Kit (Nordstrom Exclusive) ($45 Value),30,Patchology No Makeup Day Skin Perfecting Kit (Nordstrom Exclusive) ($45 Value),30,"{men_luggage,men_bag,men_all,women_luggage,women_bag,women_all,luggage}",,,,
Stance,"It's no puzzle box that opens up a scary alternate dimension, but these socks are still plenty comfy to keep toes cozy through a bone-chilling slasher flick. Style Name: Stance Hellraiser Socks. Style Number: 5638458. Available in stores.",NORDSTROM,Men's Stance Hellraiser Socks,20,Men's Stance Hellraiser Socks,13.98,"{men_clothing,men_all,men_intimates}",,,,
Minnetonka,Rustic plaid marks a cozy slipper with a padded footbed for exceptional comfort. Style Name: Minnetonka Franklin Scuff Slipper (Men). Style Number: 5629823. Available in stores.,NORDSTROM,Men's Minnetonka Franklin Scuff Slipper,39.95,Men's Minnetonka Franklin Scuff Slipper,39.95,"{men_shoe,men_all,men_slides}",,,,
