,brands,prices,tier
0,Kate Spade New York,BBB,['designer']
1,ALLSAINTS,BBB,['mid']
2,Michael Aram,AAA,['mid']
3,Agraria,BBB,['mid']
4,Rip Curl,BBB,['mid']
5,Elemis,BBB,['mid']
6,ROSSIGNOL,BBB,['mid']
7,Patchology,BBB,['mid']
8,Stance,AAA,['mid']
9,Minnetonka,BBB,['mid']
10,Nordstrom,BBB,['fast']
11,Clarins,BBB,['mid']
12,Diesel,BBB,['mid']
13,Kim Seybert,BBB,['mid']
14,Estee Lauder,AAA,['mid']
15,Unionbay,BBB,['mid']
16,BP.,AAA,['mid']
17,Fashion Forms,BBB,['mid']
18,Calvin Klein,AAA,['designer']
19,Elizabeth and James,AAA,['mid']
20,Knotty,BBB,['mid']
21,Wacoal,AAA,['mid']
22,Juliska,BBB,['mid']
23,BP.,AAA,['mid']
24,Topman,AAA,['fast']
25,Ursa Major,AAA,['mid']
26,Alex and Ani,BBB,['mid']
27,Bobbi Brown,AAA,['mid']
28,Dior,AAA,['designer']
29,Kim Seybert,BBB,['mid']
30,All in Favor,BBB,['mid']
31,Topshop,BBB,['fast']
32,Topman,BBB,['fast']
33,Sparrow & Wren,AAA,['mid']
34,Nordstrom Men's Shop,AAA,['fast']
35,Anastasia Beverly Hills,AAA,['mid']
36,Rip Curl,BBB,['mid']
37,Burberry,AAA,['designer']
38,Bombas,AAA,['mid']
39,Dansk,AAA,['mid']
40,Juliska,AAA,['mid']
41,Juliska,AAA,['mid']
42,New Balance,BBB,['mid']
43,Stance,AAA,['mid']
44,STS Blue,BBB,['mid']
45,Shiseido,AAA,['mid']
46,L. Erickson,AAA,['mid']
47,Chantecaille,BBB,['mid']
48,Wedgwood,BBB,['mid']
49,VIETRI,AAA,['mid']
50,Echo Design,BBB,['mid']
51,Villeroy & Boch,BBB,['mid']
52,Diesel,BBB,['mid']
53,All in Favor,AAA,['mid']
54,Saint Laurent,BBB,['designer']
55,BASTIDE,BBB,['mid']
56,Dolce & Gabbana,BBB,['designer']
57,Agraria,AAA,['mid']
58,LORAC,AAA,['mid']
59,L'Amour Shoes,BBB,['mid']
60,By Terry,BBB,['mid']
61,Juliska,BBB,['mid']
62,Royce New York,BBB,['mid']
63,Topshop,AAA,['fast']
64,Supreme,AAA,['designer']
65,O'Neill,BBB,['mid']
66,Juliska,AAA,['mid']
67,Kevyn Aucoin,AAA,['mid']
68,Berard,AAA,['mid']
69,Captain Blankenship,AAA,['mid']
70,Madewell,BBB,['mid']
71,TOP CHEF,BBB,['mid']
72,adidas,AAA,['mid']
73,Ralph Lauren Childrenswear,AAA,['mid']
74,Kate Spade New York,AAA,['designer']
75,Sole Society,BBB,['mid']
76,Coola,BBB,['mid']
77,Casetify,BBB,['mid']
78,Homesick,BBB,['mid']
79,Kate Spade New York,AAA,['designer']
80,Kate Spade New York,AAA,['designer']
81,Nakamol Design,BBB,['mid']
82,Madewell,AAA,['mid']
83,STATIC NAILS,AAA,['mid']
84,Kate Spade New York,AAA,['designer']
85,THE WHITE COMPANY,BBB,['mid']
86,Paul Smith,AAA,['designer']
87,New Era Cap,BBB,['mid']
88,1822 Denim,BBB,['mid']
89,2xist,AAA,['mid']
90,Topman,BBB,['fast']
91,Hue,AAA,['fast']
92,Bonobos,AAA,['mid']
93,Sunspel,BBB,['mid']
94,Kiehl's Since,AAA,['mid']
95,Topman,BBB,['fast']
96,Charcoal Companion,AAA,['mid']
97,ALLSTATE,BBB,['mid']
98,Clinique,AAA,['mid']
99,adidas Originals,AAA,['mid']
100,Juice Beauty,BBB,['mid']
101,Kate Spade New York,AAA,['designer']
102,PANDORA,BBB,['mid']
103,Reiss,AAA,['designer']
104,Supergoop,BBB,['mid']
105,Levis,BBB,['mid']
106,adidas,BBB,['mid']
107,Philippe Deshoulieres,BBB,['mid']
108,Sugarfina,AAA,['mid']
109,Diesel,BBB,['mid']
110,Smashbox,AAA,['mid']
111,Cole Haan,AAA,['mid']
112,MAC Cosmetics,BBB,['mid']
113,Dita Von Teese,BBB,['mid']
114,Anastasia Beverly Hills,AAA,['mid']
115,Banks Journal,BBB,['mid']
116,S'well,AAA,['mid']
117,The North Face,AAA,['mid']
118,Kosta Boda,AAA,['mid']
119,Burberry,AAA,['designer']
120,Kate Spade New York,AAA,['designer']
121,Kerber's Farm,BBB,['mid']
122,adidas,BBB,['mid']
123,Yummie,BBB,['mid']
124,Elemis,BBB,['mid']
125,Volcom,BBB,['mid']
126,Maison Labiche,BBB,['mid']
127,Casetify,BBB,['mid']
128,Topman,AAA,['fast']
129,Argento Vivo,BBB,['mid']
130,The North Face,BBB,['mid']
131,ALLSAINTS,BBB,['mid']
132,BP.,AAA,['mid']
133,Chilewich,AAA,['mid']
134,Iscream,BBB,['mid']
135,Sparrow & Wren,AAA,['mid']
136,RuffleButts,BBB,['mid']
137,New Balance,BBB,['mid']
138,Panacea,AAA,['mid']
139,Charbonnel et Walker,AAA,['mid']
140,Juliska,BBB,['mid']
141,Nordstrom,AAA,['fast']
142,Waterford,AAA,['mid']
143,French Connection,BBB,['mid']
144,ystudio,AAA,['mid']
145,Bluebella,AAA,['mid']
146,Omc,BBB,['mid']
147,The Book Club,BBB,['mid']
148,Bloomingdale's,AAA,['mid']
149,Jimmy Choo,AAA,['designer']
150,Lucky Brand,BBB,['mid']
151,Kid Dangerous,BBB,['mid']
152,Olivia Burton,BBB,['mid']
153,Rituel De Fille,AAA,['mid']
154,Chilewich,AAA,['mid']
155,Nordstrom Signature,AAA,['fast']
156,Vince Camuto,BBB,['mid']
157,Karine Sultan,BBB,['mid']
158,Oxo,AAA,['mid']
159,Clarins,BBB,['mid']
160,Juice Beauty,AAA,['mid']
161,Hydro Flask,BBB,['mid']
162,Angel Dear,AAA,['mid']
163,Ettika,BBB,['mid']
164,Michael Wainwright,BBB,['mid']
165,Natori,BBB,['designer']
166,C.O. BIGELOW,AAA,['mid']
167,Topman,AAA,['fast']
168,CLAUS PORTO,AAA,['mid']
169,Schott Zwiesel,AAA,['mid']
170,Topman,AAA,['fast']
171,M Missoni,BBB,['designer']
172,Anthropologie,AAA,['mid']
173,Wacoal,AAA,['mid']
174,Levi's,BBB,['mid']
175,Nordstrom Men's Shop,AAA,['fast']
176,Hanky Panky,AAA,['mid']
177,Hanky Panky,BBB,['mid']
178,Aesop,BBB,['mid']
179,Jordan,AAA,['mid']
180,NARS,AAA,['mid']
181,Prive Revaux,AAA,['mid']
182,Totally Bamboo,AAA,['mid']
183,Oroblu,AAA,['mid']
184,Noodle & Boo,AAA,['mid']
185,Laura Mercier,AAA,['mid']
186,Topman,BBB,['fast']
187,Kiehl's Since,BBB,['mid']
188,LORAC,AAA,['mid']
189,Bean There Coffee Company,AAA,['mid']
190,BeautyBio,BBB,['mid']
191,Laura Mercier,BBB,['mid']
192,Diesel,BBB,['mid']
193,Dansk,AAA,['mid']
194,Ralph Lauren,BBB,['designer']
195,Topman,AAA,['fast']
196,Topman,AAA,['fast']
197,Kate Spade New York,AAA,['designer']
198,Voluspa,AAA,['mid']
199,Vans,CCC,['mid']
200,Lafco,BBB,['mid']
201,Dolce Vita,BBB,['mid']
202,Dsquared2,CCC,['designer']
203,Elan,CCC,['mid']
204,Spiritual Gangster,BBB,['mid']
205,Nashelle,CCC,['mid']
206,Villeroy & Boch,CCC,['mid']
207,Stella McCartney,BBB,['designer']
208,Keds,CCC,['mid']
209,vineyard vines,BBB,['mid']
210,Topshop,BBB,['fast']
211,Treasure & Bond,BBB,['mid']
212,VERO MODA,BBB,['mid']
213,Aqua,BBB,['mid']
214,Leith,BBB,['mid']
215,Fleur du Mal,BBB,['designer']
216,Nordstrom Men's Shop,BBB,['fast']
217,HalogenR,BBB,['mid']
218,Sunski,BBB,['mid']
219,gorjana,BBB,['mid']
220,Nordstrom Lingerie,AAA,['fast']
221,Spiritual Gangster,BBB,['mid']
222,Givenchy,CCC,['designer']
223,Volcom,BBB,['mid']
224,Armani,BBB,['designer']
225,Natori,BBB,['designer']
226,Topman,BBB,['fast']
227,Petite Plume,BBB,['mid']
228,Bernie Mev,CCC,['mid']
229,adidas,BBB,['mid']
230,Champion,BBB,['mid']
231,Pendleton,CCC,['mid']
232,Vans,CCC,['mid']
233,Juliska,BBB,['mid']
234,Topshop,AAA,['fast']
235,Yamazaki,BBB,['mid']
236,Vintage Havana,BBB,['mid']
237,gorjana,BBB,['mid']
238,Universal Standard,CCC,['mid']
239,Lafco,CCC,['mid']
240,Reiss,CCC,['designer']
241,Kate Spade New York,BBB,['designer']
242,Soul by SoulCycle,BBB,['mid']
243,Cupio,BBB,['mid']
244,Polaroid,CCC,['mid']
245,Oribe,BBB,['mid']
246,Treasure & Bond,BBB,['mid']
247,Onzie,CCC,['mid']
248,Juliska,BBB,['mid']
249,Dolce & Gabbana,CCC,['designer']
250,Shiseido,CCC,['mid']
251,Treasure & Bond,BBB,['mid']
252,Stella + Ruby,BBB,['mid']
253,Bernardaud,BBB,['mid']
254,Sole Society,BBB,['mid']
255,Supreme,CCC,['designer']
256,Nina,BBB,['mid']
257,Tommy Bahama,CCC,['mid']
258,Topshop,AAA,['fast']
259,Dickies,CCC,['mid']
260,Leith,BBB,['mid']
261,Chiara Ferragni,BBB,['designer']
262,City Chic,BBB,['mid']
263,adidas,CCC,['mid']
264,Palm Angels,CCC,['designer']
265,Palm Angels,CCC,['designer']
266,Kendra Scott,BBB,['mid']
267,Flowers by Zoe,CCC,['mid']
268,Zella,BBB,['mid']
269,Acqua di Parma,BBB,['mid']
270,Guerlain,BBB,['mid']
271,VERO MODA,BBB,['mid']
272,Jordan,BBB,['mid']
273,TOMS,CCC,['mid']
274,Sovereign Code,CCC,['mid']
275,Champion,BBB,['mid']
276,Argento Vivo,BBB,['mid']
277,Joe's Jeans,BBB,['mid']
278,VERO MODA,BBB,['mid']
279,adidas,BBB,['mid']
280,Quiksilver Waterman Collection,BBB,['mid']
281,Christopher Radko,BBB,['mid']
282,Madewell,BBB,['mid']
283,Diesel,BBB,['mid']
284,Nambe,CCC,['mid']
285,Nakamol Design,BBB,['mid']
286,Adina's Jewels,CCC,['mid']
287,ALLSAINTS,BBB,['mid']
288,Mc2 Saint Barth Kids,CCC,['mid']
289,Cupio,CCC,['mid']
290,Noah NYC,BBB,['mid']
291,Jordan,CCC,['mid']
292,BP.,BBB,['mid']
293,Kris Nations,BBB,['mid']
294,Lenox,BBB,['mid']
295,Champion,CCC,['mid']
296,BP.,BBB,['mid']
297,Sole Society,BBB,['mid']
298,Boconi,BBB,['mid']
299,The Tie Bar,BBB,['mid']
300,Wolford,BBB,['mid']
301,Bourbon and Boweties,BBB,['mid']
302,Alo Yoga,BBB,['mid']
303,Onzie,BBB,['mid']
304,AFRM,BBB,['mid']
305,HalogenR,BBB,['mid']
306,Goodlife,CCC,['mid']
307,ALLSAINTS,BBB,['mid']
308,Matouk,CCC,['designer']
309,Marchesa By Lenox,CCC,['mid']
310,Rodial,BBB,['mid']
311,adidas,CCC,['mid']
312,Quiksilver Waterman Collection,CCC,['mid']
313,Prosperity Denim,BBB,['mid']
314,Topman,AAA,['fast']
315,Spanx,BBB,['mid']
316,Nike,BBB,['mid']
317,Topman,BBB,['fast']
318,vuori,BBB,['mid']
319,VIETRI,BBB,['mid']
320,b.tempt'd by Wacoal,BBB,['mid']
321,Palace,CCC,['designer']
322,Topman,BBB,['fast']
323,MIA,BBB,['mid']
324,Topman,AAA,['fast']
325,Closed,BBB,['mid']
326,Velvet,BBB,['mid']
327,Gibson,BBB,['mid']
328,Poetic Justice,CCC,['mid']
329,Koral,CCC,['mid']
330,Topman,BBB,['fast']
331,The North Face,CCC,['mid']
332,Tommy Jeans,BBB,['mid']
333,adidas,CCC,['mid']
334,Natori,BBB,['designer']
335,Topshop,BBB,['fast']
336,Cartier,BBB,['designer']
337,Tinsel,BBB,['mid']
338,Nashelle,BBB,['mid']
339,Valet Studio,BBB,['mid']
340,sloggi,BBB,['mid']
341,The Men's Store At Bloomingdale's,BBB,['mid']
342,Alo Yoga,CCC,['mid']
343,New Balance,CCC,['mid']
344,Derek Rose,CCC,['mid']
345,Villa Home Collection,BBB,['mid']
346,Champion,CCC,['mid']
347,Tavik,CCC,['mid']
348,FILA,CCC,['mid']
349,J. Valdi,BBB,['mid']
350,Nike,CCC,['mid']
351,HalogenR,BBB,['mid']
352,Lira Clothing,CCC,['mid']
353,Cold Picnic,CCC,['mid']
354,Sperry,BBB,['mid']
355,Obey,BBB,['designer']
356,Ralph Lauren,BBB,['designer']
357,Majestic International,CCC,['mid']
358,Kendra Scott,BBB,['mid']
359,Leith,BBB,['mid']
360,PANDORA,CCC,['mid']
361,Topman,BBB,['fast']
362,BODY VIBES,CCC,['mid']
363,Converse,BBB,['mid']
364,ANTIK KRAFT,BBB,['mid']
365,Michael Stars,BBB,['mid']
366,adidas,CCC,['mid']
367,VERO MODA,CCC,['mid']
368,Billabong,BBB,['mid']
369,Simone Perele,BBB,['mid']
370,Diesel,BBB,['mid']
371,adidas,BBB,['mid']
372,Nordstrom Men's Shop,BBB,['fast']
373,Michael Kors,CCC,['designer']
374,gorjana,BBB,['mid']
375,Goodlife,CCC,['mid']
376,Ralph Lauren Childrenswear,CCC,['mid']
377,Highline Bedding Co.,CCC,['mid']
378,Jo Malone London,BBB,['designer']
379,Bardot,BBB,['mid']
380,Nashelle,CCC,['mid']
381,Nike,BBB,['mid']
382,Glamglow,CCC,['mid']
383,La Perla,CCC,['mid']
384,Free People,CCC,['mid']
385,Bourbon and Boweties,BBB,['mid']
386,Appaman,BBB,['mid']
387,Jordan,BBB,['mid']
388,Madewell,BBB,['mid']
389,O'Neill,CCC,['mid']
390,Peter Millar,CCC,['mid']
391,Laura Mercier,CCC,['mid']
392,VIETRI,BBB,['mid']
393,Project Social T,BBB,['mid']
394,Whal Myung,BBB,['mid']
395,Billabong,BBB,['mid']
396,Status By Chenault Plus,CCC,['mid']
397,Topshop,AAA,['fast']
398,Puma,CCC,['mid']
399,Zoe Chicco,CCC,['mid']
400,Velveteen,CCC,['mid']
401,Leith,CCC,['mid']
402,Atelier Cologne,CCC,['mid']
403,Bagatelle,CCC,['mid']
404,UGG,CCC,['mid']
405,Diesel,CCC,['mid']
406,English Laundry,CCC,['mid']
407,Little Marc Jacobs,CCC,['mid']
408,RAGEN Jewels,CCC,['mid']
409,Karl Lagerfeld Paris,CCC,['mid']
410,Puma,CCC,['mid']
411,Paige,CCC,['mid']
412,Suboo,CCC,['mid']
413,Nike,CCC,['mid']
414,Emporio Armani,CCC,['mid']
415,Calvin Klein,CCC,['designer']
416,THE WHITE COMPANY,CCC,['mid']
417,Msgm Kids,CCC,['mid']
418,Juliska,CCC,['mid']
419,Argento Vivo,CCC,['mid']
420,Free People,CCC,['mid']
421,Wit & Wisdom,CCC,['mid']
422,Kendra Scott,CCC,['mid']
423,Nike,CCC,['mid']
424,Fatboy,CCC,['mid']
425,Versace,CCC,['designer']
426,Kimi and Kai,CCC,['mid']
427,adidas,CCC,['mid']
428,tasc Performance,CCC,['mid']
429,BOUND by Bond-Eye,CCC,['mid']
430,Collections by joya,CCC,['mid']
431,Reiss,CCC,['designer']
432,Kate Spade New York,CCC,['designer']
433,Michael Kors,CCC,['designer']
434,Gottex,CCC,['designer']
435,Champion,CCC,['mid']
436,Reebok,CCC,['mid']
437,Urban Originals,CCC,['mid']
438,Highline Bedding Co.,CCC,['mid']
439,Alexander McQueen,CCC,['designer']
440,Alexander McQueen,CCC,['designer']
441,Adam Tucker by Me Too,CCC,['mid']
442,GOOD HYOUMAN,CCC,['mid']
443,Juliska,CCC,['mid']
444,Alison Andrews,CCC,['mid']
445,Fleur du Mal,CCC,['designer']
446,Bzees,CCC,['mid']
447,Knotty,CCC,['mid']
448,Supreme,CCC,['designer']
449,Magformers,CCC,['mid']
450,Ralph Lauren,CCC,['designer']
451,Maaji,CCC,['mid']
452,LNDR,CCC,['mid']
453,Aqua,CCC,['mid']
454,Kate Spade New York,CCC,['designer']
455,Madewell,CCC,['mid']
456,RVCA,CCC,['mid']
457,Diesel,CCC,['mid']
458,Papinelle,CCC,['mid']
459,Nununu,CCC,['mid']
460,Anna Weatherley,CCC,['mid']
461,Christian Louboutin,CCC,['designer']
462,CaslonR,CCC,['mid']
463,Annieglass,CCC,['mid']
464,ANTIK KRAFT,CCC,['mid']
465,Michael Kors,CCC,['designer']
466,Topshop,CCC,['fast']
467,John Varvatos,CCC,['designer']
468,evolve,CCC,['mid']
469,Tommy Bahama,CCC,['mid']
470,HalogenR,CCC,['mid']
471,Vince Camuto,CCC,['mid']
472,CeCe,CCC,['mid']
473,BAPE,CCC,['designer']
474,Nike,CCC,['mid']
475,Nom Maternity,CCC,['mid']
476,Nina,CCC,['mid']
477,Maceoo,CCC,['mid']
478,Aqua,CCC,['mid']
479,French Connection,CCC,['mid']
480,Stowaway Collection,CCC,['mid']
481,Kendra Scott,CCC,['mid']
482,Argento Vivo,CCC,['mid']
483,Surya,CCC,['mid']
484,Adina's Jewels,CCC,['mid']
485,Jordan,CCC,['mid']
486,Nike,CCC,['mid']
487,Carhartt Work In Progress,CCC,['mid']
488,Champion,CCC,['mid']
489,Nadri,CCC,['mid']
490,Kappa Kontroll,CCC,['mid']
491,Vitamin A,CCC,['mid']
492,Culinaire,CCC,['mid']
493,Josie,CCC,['mid']
494,Kate Spade New York,CCC,['designer']
495,CALPAK,CCC,['mid']
496,BLANKNYC,CCC,['mid']
497,Wildfox,CCC,['mid']
498,Topshop,CCC,['fast']
499,True Religion,CCC,['mid']
