,V1,V2,V3,V4,url
0,316,State Hattie Canvas Backpack,State Hattie Canvas Backpack-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000316.jpg
1,2849,Delsey Helium Sky 2.0 Expandable Carry On Spinner,Delsey Helium Sky 2.0 Expandable Carry On Spinner-Home,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000002849.jpg
2,2661,Matouk Letra Monogram Guest Towel - 100% Exclusive,Add a personal touch to your master suite or guest bath with this monogrammed towel.,"['Business', 'Formal']",https://s3.amazonaws.com/kalo-production/products/0004000002661.jpg
3,48,Zadig & Voltaire Clyde Leather Crossbody,Zadig & Voltaire Clyde Leather Crossbody-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000048.jpg
4,1841,Rebecca Minkoff Regan Nubuck Leather Satchel,Rebecca Minkoff Regan Nubuck Leather Satchel-Handbags,['Business'],https://s3.amazonaws.com/kalo-production/products/0004000001841.jpg
5,85,Vasic Safari Bucket Bag,Vasic Safari Bucket Bag-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000085.jpg
6,1938,Swiss Blue Topaz and Diamond Halo Stud Earrings in 14K White Gold - 100% Exclusive,Swiss Blue Topaz and Diamond Halo Stud Earrings in 14K White Gold - 100% Exclusive-Jewelry & Accessories,['Formal'],https://s3.amazonaws.com/kalo-production/products/0004000001938.jpg
7,2300,Polo Ralph Lauren Allover Pony Print Pajama Pants,These relaxed-fitting pajama pants from Polo Ralph Lauren are crafted from soft cotton broadcloth and feature an allover pattern of the brand's iconic pony.,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000002300.jpg
8,1797,Marc Jacobs Grey The Grind Bag,Pebbled leather tote in light slate grey. Twin carry handles. Logo plaque and padlock hardware at face. Gold-tone logo patch card slot zippered pocket and patch pockets at three-compartment interior. Burgundy textile and leather lining. Gold-tone hardware. Contrast stitching in off-white. Approx. 13.5 length x 12 height x 5 width.,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001797.jpg
9,2143,"Tous Sterling Silver & Cultured Freshwater Pearl Bear Pendant Necklace, 18","Tous Sterling Silver & Cultured Freshwater Pearl Bear Pendant Necklace, 18-Jewelry & Accessories","['Casual', 'Formal']",https://s3.amazonaws.com/kalo-production/products/0004000002143.jpg
10,682,Michael Michael Kors Selma Studded Embossed Leather Medium Crossbody,Michael Michael Kors Selma Studded Embossed Leather Medium Crossbody-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000000682.jpg
11,1511,Longchamp Shop It Medium Leather Hobo,Longchamp Shop It Medium Leather Hobo-Handbags,['Casual'],https://s3.amazonaws.com/kalo-production/products/0004000001511.jpg
12,2560,Boss Solid Basic Regular Fit Dress Shirt,Boss Solid Basic Regular Fit Dress Shirt-Men,['Formal'],https://s3.amazonaws.com/kalo-production/products/0004000002560.jpg
