Kate Spade New York,Fanciful sparkle-accented clovers shaped from signature spades cover a case designed to keep your tech safe from scrapes and scuffs. Style Name: Kate Spade New York Mirror Spade Clover Toss Iphone X/xs Case. Style Number: 5910529. Available in stores.,NORDSTROM,Kate Spade New York Mirror Spade Clover Toss Iphone X/xs Case -,45,Kate Spade New York Mirror Spade Clover Toss Iphone X/xs Case -,45,"{women_accessory,women_all,women_tech_accessories}",,,,, Kate Spade New York
Calvin Klein,Finely patterned socks are crafted from a soft combed-cotton blend. Style Name: Calvin Klein 3-Pack Patterned Dress Socks. Style Number: 333600 5. Available in stores.,NORDSTROM,Men's Calvin Klein 3-Pack Patterned Dress Socks,22,Men's Calvin Klein 3-Pack Patterned Dress Socks,10.19,"{men_clothing,men_all,men_intimates}",,,,, Calvin Klein
Dior,"What It Is: Three nail lacquer shades inspired by the colors of the city to reveal a strong and confident woman. What It Does: Shine. Gel coat resins with intense purity combined with a techno-polymer transform each coat of lacquer into a film as smooth and shiny as glass. Long-wear. Enriched with non-mineral silicon, Dior Vernis strengthens the nail surface for optimal hold, while the techno-polymer creates a seamless bond between the lacquer and the nail. For truly long-lasting wear. Free Of.",Bergdorf Goodman,"Couture Color, Gel Shine & Long Wear Nail Lacquer",28,"Couture Color, Gel Shine & Long Wear Nail Lacquer",28,"{women_clothing,women_all,women_intimates}",,,,, Dior
Burberry,"Burberry Beauty introduces Eye Colour, the new collection of single eyeshadows designed to be applied dry for a natural sweep of color or wet for a more intense result. Each Glow Eyeshadow features a gel-like texture, brightening reflective shades and a pure, crystal-clear finish to open the eye. Wear the individual shade alone or blend it together with another hue for infinite effects. Style Name: Burberry Beauty Eye Colour - Wet & Dry Glow",NORDSTROM,Burberry Beauty Eye Colour - Wet & Dry Glow Eyeshadow - No. 002 Nude,29.5,Burberry Beauty Eye Colour - Wet & Dry Glow Eyeshadow - No. 002 Nude,29.5,"{women_rings,women_all,women_accessory}",,,,, Burberry
Wedgwood,Vera Wang Wedgwood Gilded Weave Dinner Plate-Home,Bloomingdale's,Vera Wang Wedgwood Gilded Weave Dinner Plate,35,Vera Wang Wedgwood Gilded Weave Dinner Plate,,"{women_clothing,women_all,women_intimates,men_clothing,men_all,men_shirts}",,,,, Vera Wang
Diesel,"Black and white Samara sliders from Diesel featuring an open toe, a printed logo to the front, a branded insole, a flat sole and a PVC design.",Farfetch,"Diesel - Samara sliders - men - PVC - 46, 40 - Black",45,"Diesel - Samara sliders - men - PVC - 46, 40 - Black",45,"{men_shoe,men_all,men_sandals}",,,,, A.P.C.
Saint Laurent,"What It Is: A limited-edition lipstick collaboration created by Zoe Kravitz, in six new shades featuring Zoe's pick of a feminine-yet-edgy black on black glitter packaging. What It Does: Discover Zoe Kravitz's personal collection of the iconic Ysl lipstick, Rouge Pur Couture. Her handpicked shades come in three reds and three nudes, with three unique finishes; satin, matte, and shimmer. Named and inspired by her loved ones, Zoe brings her own strong identity to the pure and powerful, highly pigm",Bloomingdale's,"Yves Saint Laurent Rouge Pur Couture Lipstick, Zoe Kravitz Collection",38,"Yves Saint Laurent Rouge Pur Couture Lipstick, Zoe Kravitz Collection",38,"{women_bag,women_all,women_shoulder_bags}",,,,, Yves Saint Laurent
Dolce & Gabbana,"Match your branded clothing to your underwear courtesy of Dolce & Gabbana. Crafted in stretch cotton, these boxers are detailed with a logo waistband. Embrace 'logomania.' Featuring a printed logo and an elasticated waistband. Underwear and lingerie must be tried on over your own garments.",Farfetch,"Dolce & Gabbana - logo waistband boxer shorts - men - Cotton/Spandex/Elastane - 3, 4, 5, 6, 7 - Blue",45,"Dolce & Gabbana - logo waistband boxer shorts - men - Cotton/Spandex/Elastane - 3, 4, 5, 6, 7 - Blue",45,,,,,, Dolce & Gabbana
Supreme,Red logo print post-it notes from supreme featuring adhesive tape and printed logo tags.,Farfetch,Supreme - logo print post-it notes - unisex - Acetate - One Size - Red,25,Supreme - logo print post-it notes - unisex - Acetate - One Size - Red,25,,,,,, Supreme
Ralph Lauren Childrenswear,Ralph Lauren Childrenswear polo coverall. Spread collar, button placket front. Long sleeves. Pleated shoulders. Logo embroidery at chest. Snaps through legs. Cotton. Imported.,Bergdorf Goodman,"Interlock Polo Coverall, Size 3-12 Months",29.5,"Interlock Polo Coverall, Size 3-12 Months",,"{women_clothing,women_tops,women_all}",,,, Ralph Lauren
Kate Spade New York,"Classic blue-and-white dishes get a fresh modern update with kate spade new york's painterly assortment of stripes, spots, swirls and other motifs. Variations in design make them perfect for mixing and matching.",Bloomingdale's,kate spade new york Charlotte Street Pasta Bowl,21,kate spade new york Charlotte Street Pasta Bowl,,"{men_clothing,men_all,men_shirts}",,,,, Kate Spade New York
Kate Spade New York,kate spade new york Nolita Mug-Home,Bloomingdale's,kate spade new york Nolita Mug,16,kate spade new york Nolita Mug,,"{luggage,women_luggage,women_all,men_bag,women_accessory,women_gloves,men_luggage,women_bag,men_all}",,,,, Kate Spade New York
Kate Spade New York,"Classic blue-and-white dishes get a fresh modern update with kate spade new york's painterly assortment of stripes, spots, swirls and other motifs. Variations in design make them perfect for mixing and matching.",Bloomingdale's,kate spade new york Charlotte Street Fruit Bowl,15,kate spade new york Charlotte Street Fruit Bowl,,"{men_clothing,men_all,men_intimates}",,,,, Kate Spade New York
Kate Spade New York,"Classic blue-and-white dishes get a fresh modern update with kate spade new york's painterly assortment of stripes, spots, swirls and other motifs. Variations in design make them perfect for mixing and matching.",Bloomingdale's,kate spade new york Charlotte Street Accent Plate,19,kate spade new york Charlotte Street Accent Plate,,"{men_luggage,men_bag,men_all,women_luggage,women_bag,women_all,luggage}",,,,, Kate Spade New York
Paul Smith,"Stay warm and stylish this winter with these multicoloured Signature Stripe socks from Paul Smith. Crafted from a cotton-blend, they feature a striped print, a ribbed hem and a black heel and toe. Socks and Hosiery must be returned in its original unopened packaging.",Farfetch,"Paul Smith - Signature Stripe socks - men - Nylon/Spandex/Elastane - M, L - Black",25,"Paul Smith - Signature Stripe socks - men - Nylon/Spandex/Elastane - M, L - Black",25,,,,,, Paul Smith
Kate Spade New York,kate spade new york Birch Way Saucer-Home,Bloomingdale's,kate spade new york Birch Way Saucer,20,kate spade new york Birch Way Saucer,,"{women_accessory,women_all,women_gloves,men_luggage,men_bag,men_all,women_luggage,women_bag,women_all,luggage}",,,,, Kate Spade New York
Reiss,"The Franks socks in light-grey combine a soft cotton blend with a horizontal, striped design and are sure to become an indispensable part of your underwear collection. * Cotton-rich fabrication * Branding to each sole",REISS LTD,"Reiss Franks - Striped Socks in Light Grey, Mens",25,"Reiss Franks - Striped Socks in Light Grey, Mens",25,"{men_clothing,men_all,men_intimates}",,,,, Reiss
Burberry,"Discover Effortless Kohl, the versatile, highly pigmented crayon with exceptional color release and intensity. With a smooth texture and glide-on application, Effortless Kohl draws with precision, holds its structure and can be blended for multiple effects. Use to define the eyes along the inner and outer lash lines; smudge onto eyelids for a smoky look or use on the face for effortless color.",Bloomingdale's,Burberry Effortless Kohl Eyeliner,29,Burberry Effortless Kohl Eyeliner,,"{women_accessory,women_all,women_rings}",,,,, Burberry
Kate Spade New York,"Featuring a rich satin glaze on sturdy, durable stoneware, this sweet kate spade new york dinnerware is spot on when it comes to easy elegance and versatility.",Bloomingdale's,kate spade new york Larabee Dot Accent Plate,17,kate spade new york Larabee Dot Accent Plate,,"{women_accessory,women_all,women_scarves,men_luggage,men_bag,men_all,women_luggage,women_bag,women_all,luggage}",,,,, Kate Spade New York
Jimmy Choo,"Imagine femininity, luxury and style, bottled. Introducing Jimmy Choo, the fragrance. Expressing an aura of strength and beauty, glamour and confidence, it is inspired by modern women. Luminous green top notes, a heart of rich and exotic tiger orchid and lingering sensual base notes of sweet toffee and Indonesian patchouli leave a sensual memory on the skin. Notes: sweet orange, pear nectar, tiger orchid, Indonesian patchouli, caramel. Style",NORDSTROM,Jimmy Choo Eau De Parfum Rollerball,28,Jimmy Choo Eau De Parfum Rollerball,28,"{women_clothing,women_all,women_tops}",,,,, Jimmy Choo
Natori,"Sheer, stretchy floral lace makes a stunning statement on a low-rise tanga with a wide waistband and cheeky back. Style Name: Natori Statement Tanga. Style Number: 5845162 1. Available in stores.",Bloomingdale's,Natori Statement Tanga,32,Natori Statement Tanga,19.2,"{women_clothing,women_all,women_intimates}",,,,, Natori
M Missoni,"Black and white cotton-blend zig zag socks from M Missoni featuring a knitted style, a zigzag pattern, ribbed trimming and a slip-on style.",Farfetch,"M Missoni - zig zag socks - women - Cotton/Polyamide - S, L - Black",38,"M Missoni - zig zag socks - women - Cotton/Polyamide - S, L - Black",37,,,,,, Missoni
Ralph Lauren,Lauren Ralph Lauren Crest Drop Earrings-Jewelry & Accessories,Bloomingdale's,Lauren Ralph Lauren Crest Drop Earrings,32,Lauren Ralph Lauren Crest Drop Earrings,11.2,"{women_accessory,women_all,women_earrings}",,,,, Ralph Lauren
Kate Spade New York,kate spade new york Willow Drive All-Purpose Bowl-Home,Bloomingdale's,kate spade new york Willow Drive All-Purpose Bowl,14,kate spade new york Willow Drive All-Purpose Bowl,,"{women_accessory,women_all,women_tech_accessories,men_luggage,men_bag,men_all,women_luggage,women_bag,women_all,luggage}",,,,, Kate Spade New York
Dsquared2,Dean and Dan Caten - the infamous designer duo behind DSQUARED2 - have a maximalist design vision that blends sports-inspired styling with tough-luxe details. Presenting this black branded sheer thong from DSQUARED2. Underwear and lingerie must be tried on over your own garments.,Farfetch,"Dsquared2 - branded sheer thong - women - Polyamide/Spandex/Elastane - 42, 44, 46 - Black",60,"Dsquared2 - branded sheer thong - women - Polyamide/Spandex/Elastane - 42, 44, 46 - Black",60,"{women_clothing,women_all,women_intimates}",,,,, Dean and Dan Caten
Stella McCartney,Jazz berry and cobalt blue logo iPhone 6 case from Stella McCartney featuring a back embossed logo stamp. POSITIVELY CONSCIOUS: We’ve joined forces with ethical agency Good On You to give you the power to choose positively. This piece is from a brand that scores well on their key criteria.,Farfetch,Stella McCartney - logo iPhone 6 case - women - Polyurethane - One Size - PURPLE,59,Stella McCartney - logo iPhone 6 case - women - Polyurethane - One Size - PURPLE,59,"{women_accessory,women_all,women_tech_accessories}",,,,, Stella McCartney
Fleur du Mal,Rose pink  stretch silk satin hipster briefs from Fleur du Mal. Underwear and lingerie must be tried on over your own garments.,Farfetch,"Fleur Du Mal - satin hipster briefs - women - Silk/Spandex/Elastane - S, XS - PINK",45,"Fleur Du Mal - satin hipster briefs - women - Silk/Spandex/Elastane - S, XS - PINK",45,,,,,, Fleur Du Mal
Givenchy,"What It Is: The 2019 Fall Collection draws from the essence of shadows, inspired by the power of light. This limited-edition eyeshadow palette has 9 highly-pigmented shades for creating looks ranging from light to dark. What It Does: The shade range features a mix of various textures and finishes, from shiny to matte. Whether your desired look is sultry or smoky, neutral or dramatic, the easy-to-blend formula is buildable and vibrant enough to help you achieve it. The 2019 Fall Collection Eye Pa",Bloomingdale's,"Givenchy Prismissime Eye Palette - Limited Edition, Essence of Shadows 2019 Fall Collection",62,"Givenchy Prismissime Eye Palette - Limited Edition, Essence of Shadows 2019 Fall Collection",,"{women_accessory,women_all,women_rings}",,,,, Givenchy
Armani,Armani Boxer Briefs - Pack of 3-Men,Bloomingdale's,Armani Boxer Briefs - Pack of 3,58,Armani Boxer Briefs - Pack of 3,43.5,"{men_clothing,men_all,men_intimates}",,,,, Armani
