colors,id,tier,noise,occasion,style
{beige},2000000359801,mid,neutral,Casual,0
"{grey,brown}",2000000859538,mid,neutral,Formal,0
{black},2000000620146,mid,neutral,Casual,0
"{beige,brown}",2000000111957,mid,neutral,Casual,0
"{Black,grey}",2000000239768,mid,neutral,Casual,0
{white},2000000316519,mid,neutral,Casual,0
{grey},2000000165834,designer,neutral,Casual,0
{beige},2000000024576,mid,neutral,Formal,0
"{green,grey}",2000000119069,mid,neutral,Athletic,0
{black},2000000240082,mid,neutral,Casual,0
{blue},2000000095127,mid,neutral,Casual,0
{brown},2000000009616,mid,neutral,Casual,0
"{black,brown,white,beige}",2000000092518,mid,neutral,Casual,0
{black},2000000541089,designer,neutral,Casual,0
{brown},2000000147931,mid,neutral,"Athletic,Casual",0
{black},2000000139027,mid,neutral,Casual,0
"{blue,grey}",2000000164551,mid,neutral,Casual,0
"{grey,beige}",2000000182800,mid,neutral,Casual,0
"{beige,black}",2000000235451,mid,neutral,Casual,0
{black},2000000350722,mid,neutral,Casual,0
"{white,grey}",2000000289595,mid,neutral,Casual,0
"{brown,beige}",2000000304906,mid,neutral,Casual,0
{grey},2000000423455,mid,neutral,Casual,0
"{black,brown}",2000000016623,mid,neutral,Casual,0
"{brown,beige}",2000000179348,mid,neutral,Casual,0
{grey},2000000280213,mid,neutral,Casual,0
{black},2000000314588,designer,neutral,Casual,0
"{grey,brown}",2000000069842,mid,neutral,Casual,0
{grey},2000000315897,mid,neutral,Casual,0
{blue},2000000129780,mid,neutral,Casual,0
"{black,red,beige,brown,grey,purple,blue,white}",2000000240078,mid,loud,Casual,0
"{brown,grey}",2000000324167,mid,neutral,Casual,0
"{beige,grey}",2000000302310,mid,neutral,Casual,0
"{pink,purple}",2000000317388,mid,loud,Formal,0
"{cyan,black,grey}",2000000001004,mid,neutral,Formal,0
{black},2000000069063,mid,neutral,Casual,0
"{black,white}",2000000375269,mid,neutral,Casual,0
{white},2000000103049,mid,neutral,Casual,0
"{black,beige,brown}",2000000373190,mid,neutral,Casual,0
"{beige,brown}",2000000261003,mid,neutral,Casual,0
"{black,grey}",2000000374882,mid,neutral,Casual,0
"{beige,grey}",2000000072312,mid,neutral,Casual,0
"{beige,brown,grey}",2000000961908,mid,neutral,Casual,0
{grey},2000000037140,mid,neutral,Casual,0
{cyan},2000000243883,mid,neutral,Casual,0
"{beige,grey,blue,white,black,cyan}",2000000125720,mid,neutral,Casual,0
"{black,grey}",2000000241591,mid,neutral,Casual,0
"{brown,grey}",2000000108552,mid,neutral,Casual,0
{beige},2000000132876,mid,neutral,Casual,0
"{beige,brown}",2000000290487,mid,neutral,Casual,0
{grey},2000000374158,mid,neutral,Casual,0
"{black,beige}",2000000074545,mid,neutral,Casual,0
"{beige,white}",2000000001765,mid,neutral,Casual,0
{black},2000000858457,mid,neutral,Athletic,0
{Black},2000000142961,mid,neutral,Casual,0
{grey},2000000265056,designer,neutral,Casual,0
"{beige,brown}",2000000148776,mid,neutral,Casual,0
{beige},2000000304843,mid,neutral,Casual,0
{white},2000000364343,mid,neutral,Casual,0
{grey},2000000361693,mid,neutral,Casual,0
{white},2000000132808,mid,neutral,Casual,0
"{white,grey}",2000000102793,mid,neutral,Casual,0
"{beige,red,black,yellow,brown,purple,pink,green}",2000000125801,mid,loud,Casual,0
{beige},2000000310883,mid,neutral,Casual,0
{grey},2000000288565,mid,neutral,Casual,0
{grey},2000000303100,mid,neutral,Casual,0
"{grey,beige,brown,purple,white}",2000000059783,mid,neutral,Casual,0
"{brown,beige,grey,black}",2000000059116,mid,neutral,Casual,0
"{black,grey}",2000000324881,mid,neutral,Casual,0
"{white,pink}",2000000230313,mid,neutral,Casual,0
{grey},2000000323057,mid,neutral,Casual,0
{white},2000000960577,mid,neutral,Formal,0
"{grey,blue}",2000000366868,mid,neutral,Casual,0
"{beige,grey}",2000000306455,mid,neutral,Casual,0
"{beige,brown}",2000000318122,mid,neutral,Casual,0
"{white,orange,grey}",2000000366275,mid,neutral,Casual,0
{white},2000000042513,mid,neutral,Casual,0
{grey},2000000243055,mid,neutral,Formal,0
"{beige,cyan}",2000000048509,mid,neutral,Casual,0
{blue},2000000325650,designer,neutral,Casual,0
{grey},2000000169644,mid,neutral,Casual,0
{brown},2000000301507,mid,neutral,Casual,0
"{beige,brown}",2000000305796,mid,neutral,Casual,0
"{beige,brown,black,grey,purple}",2000000182807,mid,neutral,Formal,0
"{beige,brown}",2000000126092,mid,neutral,Casual,0
{white},2000000178174,mid,neutral,Athletic,0
"{beige,brown}",2000000272773,mid,neutral,Casual,0
{black},2000000142938,mid,neutral,Casual,0
"{black,brown}",2000000166737,mid,neutral,Casual,0
"{white,grey}",2000000291635,mid,neutral,Casual,0
{white},2000000101872,mid,neutral,Casual,0
{beige},2000000348079,mid,neutral,Casual,0
{red},2000000248526,mid,neutral,Casual,0
"{brown,black}",2000000315465,mid,neutral,Formal,0
"{brown,black,beige,grey,green}",2000000199657,mid,neutral,Casual,0
"{yellow,grey}",2000000315866,mid,neutral,Casual,0
"{black,grey,pink}",2000000096496,mid,neutral,Casual,0
{black},2000000239833,mid,neutral,Casual,0
